ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/1aGLzV9KTZtu0GRPBiOBXpyDOLDpRR7fl,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
H31249L,variable,,BLUSA ALIEN (L),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,L,,,
H31249XL,variable,,BLUSA ALIEN (XL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XL,,,
H31249XXL,variable,,BLUSA ALIEN (XXL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XXL,,,
H31246,variable,,BLUSA OCTOPUS ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,OCTOPUS.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31246XS,variable,,BLUSA OCTOPUS (XS),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XS,,,
H31246S,variable,,BLUSA OCTOPUS (S),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,S,,,
H31246M,variable,,BLUSA OCTOPUS (M),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,M,,,
H31246L,variable,,BLUSA OCTOPUS (L),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,L,,,
H31246XL,variable,,BLUSA OCTOPUS (XL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XL,,,
H31246XXL,variable,,BLUSA OCTOPUS (XXL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XXL,,,
H31250,variable,,BLUSA FLOWER ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,FLOWER.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31250XS,variable,,BLUSA FLOWER (XS),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XS,,,
H31250S,variable,,BLUSA FLOWER (S),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,S,,,
H31250M,variable,,BLUSA FLOWER (M),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,M,,,
H31250L,variable,,BLUSA FLOWER (L),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,L,,,
H31250XL,variable,,BLUSA FLOWER (XL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XL,,,
H31250XXL,variable,,BLUSA FLOWER (XXL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XXL,,,
H31247,variable,,BLUSA COOKIES ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,COOKIES.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31247XS,variable,,BLUSA COOKIES (XS),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XS,,,
H31247S,variable,,BLUSA COOKIES (S),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,S,,,
H31247M,variable,,BLUSA COOKIES (M),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,M,,,
H31247L,variable,,BLUSA COOKIES (L),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,L,,,
H31247XL,variable,,BLUSA COOKIES (XL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XL,,,
H31247XXL,variable,,BLUSA COOKIES (XXL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XXL,,,
H31245,variable,,BLUSA REDLOVE ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,REDLOVE.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31245XS,variable,,BLUSA REDLOVE (XS),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XS,,,
H31245S,variable,,BLUSA REDLOVE (S),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,S,,,
H31245M,variable,,BLUSA REDLOVE (M),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,M,,,
H31245L,variable,,BLUSA REDLOVE (L),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,L,,,
H31245XL,variable,,BLUSA REDLOVE (XL),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XL,,,
H31245XXL,variable,,BLUSA REDLOVE (XXL),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XXL,,,
