"INGRESA AQUI LOS PRODUCTOS VARIABLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID","Tipo","SKU padre","sku ","Nombre","Publicado (0/1)","¿Está destacado? (0/1)","Visibilidad en el catálogo","Descripción corta","Descripción","Estado del impuesto","Clase de impuesto","¿En inventario? (0/1)","Inventario (cantidad)","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes https://drive.google.com/drive/folders/1i9GHkuXTpf8pYqphmtF9dLWNeRXMGxlH","Swatches Attributes","Nombre del atributo 1","Valor(es) del atributo talla","Atributo visible talla","Atributo global talla","Atributo por defecto talla",""
"","variable","","","SANDALIAS GUNS N ROSES T-40","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"109","variable","","","SANDALIAS METALLICA ","1","0","visible","","SANDALIAS ELABORADAS EN SINTETICOS DE LARGA DURACION Y PEGANTE 80% A BASE DE AGUA, TIENEN TACHES, TRIPLE HEBILLA, Y TACON GRUESO.","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS METALLICA T-35","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS METALLICA T-36","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS METALLICA T-37","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS METALLICA T-38","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS METALLICA T-39","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS METALLICA T-40","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"110","variable","","","MULET KISS ","1","0","visible",""," ELABORADAS EN SINTETICOS DE LARGA DURACION Y PEGANTE 80% A BASE DE AGUA, TIENEN TACHES, RECOMENDACION EN ESTA REFERENCIA PEDIR UNA TALLA MAS.","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET KISS T-35","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET KISS T-36","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET KISS T-37","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET KISS T-38","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET KISS T-39","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET KISS T-40","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"111","variable","","","MULET RAMONES ","1","0","visible",""," ELABORADAS EN SINTETICOS DE LARGA DURACION Y PEGANTE 80% A BASE DE AGUA, TIENEN TACHES","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET RAMONES T-35","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET RAMONES T-36","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET RAMONES T-37","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET RAMONES T-38","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET RAMONES T-39","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","MULET RAMONES T-40","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"112","variable","","","SANDALIAS BEATLES ","1","0","visible","","SANDALIAS ELABORADAS EN SINTETICOS DE LARGA DURACION Y PEGANTE 80% A BASE DE AGUA, TIENEN UNA MINI PLATAFORMA, HEBILLA Y TACHES","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BEATLES T-35","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BEATLES T-36","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BEATLES T-37","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BEATLES T-38","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BEATLES T-39","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BEATLES T-40","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"113","variable","","","SANDALIAS ROLLING STONES ","1","0","visible","","SANDALIAS ELABORADAS EN SINTETICOS DE LARGA DURACION Y PEGANTE 80% A BASE DE AGUA, TIENN TACHES Y UNA MINI PLATAFORMA","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS ROLLING STONES T-35","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS ROLLING STONES T-36","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS ROLLING STONES T-37","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS ROLLING STONES T-38","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
